VariablesInteres,VariablesCondicionadas,VariablesMarginalizadas,TiempoEjecucion(us),EstadosEvaluados
5,3,12,10436.00,1048576
5,3,12,10742.81,1048576
5,3,12,10950.75,1048576
5,3,12,12203.07,1048576
5,3,12,10526.43,1048576
5,3,12,9061.12,1048576
5,3,12,9707.45,1048576
5,3,12,10191.94,1048576
5,3,12,12146.18,1048576
5,3,12,12278.47,1048576
5,3,12,8703.43,1048576
5,3,12,9921.98,1048576
5,3,12,10314.68,1048576
5,4,11,6087.28,1048576
5,4,11,6764.06,1048576
5,4,11,5404.39,1048576
5,4,11,5766.85,1048576
5,4,11,5149.96,1048576
5,4,11,4909.45,1048576
5,4,11,7368.25,1048576
5,4,11,6369.16,1048576
5,4,11,5785.32,1048576
5,4,11,5526.14,1048576
5,4,11,5915.44,1048576
5,4,11,6134.63,1048576
5,4,11,5992.93,1048576
5,4,11,4953.42,1048576
5,4,11,6605.35,1048576
5,4,11,6246.45,1048576
5,4,11,5872.27,1048576
5,4,11,6186.20,1048576
5,4,11,6799.44,1048576
5,4,11,7231.43,1048576
5,5,10,3689.49,1048576
5,5,10,2920.44,1048576
5,5,10,3184.24,1048576
5,5,10,3248.54,1048576
5,5,10,4141.05,1048576
5,5,10,2912.77,1048576
5,5,10,3866.14,1048576
5,5,10,3521.89,1048576
5,5,10,3940.16,1048576
5,5,10,3442.82,1048576
5,5,10,3641.18,1048576
5,5,10,3900.92,1048576
5,5,10,3868.81,1048576
5,5,10,3841.69,1048576
5,5,10,4118.53,1048576
5,5,10,3759.59,1048576
5,5,10,3816.84,1048576
5,5,10,3985.07,1048576
5,5,10,3692.48,1048576
5,5,10,3868.40,1048576
5,6,9,2336.09,1048576
5,6,9,2290.04,1048576
5,6,9,2632.99,1048576
5,6,9,2047.13,1048576
5,6,9,2443.43,1048576
5,6,9,2508.91,1048576
5,6,9,2344.20,1048576
5,6,9,2479.23,1048576
5,6,9,2024.68,1048576
5,6,9,2177.23,1048576
5,6,9,2075.52,1048576
5,6,9,2225.51,1048576
5,6,9,2476.34,1048576
5,6,9,2163.49,1048576
5,6,9,2452.37,1048576
5,6,9,2450.01,1048576
5,6,9,2701.34,1048576
5,6,9,2303.70,1048576
5,6,9,2396.84,1048576
5,6,9,2259.34,1048576
5,7,8,1705.68,1048576
5,7,8,1825.74,1048576
5,7,8,1545.03,1048576
5,7,8,1964.58,1048576
5,7,8,1813.35,1048576
5,7,8,1647.58,1048576
5,7,8,1729.76,1048576
5,7,8,1706.48,1048576
5,7,8,1612.13,1048576
5,7,8,1790.93,1048576
5,7,8,1759.70,1048576
5,7,8,1739.11,1048576
5,7,8,1763.07,1048576
5,7,8,1649.03,1048576
5,7,8,1738.79,1048576
5,7,8,1667.27,1048576
5,7,8,1532.88,1048576
5,7,8,1721.92,1048576
5,7,8,1463.15,1048576
5,7,8,1690.13,1048576
5,8,7,1315.96,1048576
5,8,7,1375.51,1048576
5,8,7,1411.66,1048576
5,8,7,1463.28,1048576
5,8,7,1388.93,1048576
5,8,7,1350.53,1048576
5,8,7,1412.43,1048576
5,8,7,1337.16,1048576
5,8,7,1354.69,1048576
5,8,7,1358.76,1048576
5,8,7,1337.41,1048576
5,8,7,1316.51,1048576
5,8,7,1336.18,1048576
5,8,7,1313.63,1048576
5,8,7,1446.62,1048576
5,8,7,1308.91,1048576
5,8,7,1385.59,1048576
5,8,7,1330.70,1048576
5,8,7,1294.95,1048576
5,8,7,1473.16,1048576
6,0,14,82719.63,1048576
6,0,14,66475.79,1048576
6,0,14,80598.73,1048576
6,0,14,76058.93,1048576
6,0,14,68984.99,1048576
6,0,14,76068.87,1048576
6,0,14,65155.40,1048576
6,0,14,68948.51,1048576
6,0,14,97265.12,1048576
6,0,14,84557.89,1048576
6,0,14,88424.11,1048576
6,0,14,67472.49,1048576
6,0,14,86030.37,1048576
6,0,14,65932.40,1048576
6,0,14,79838.85,1048576
